title,release_year,imdb_id,genre,imdb_rating,date_watched
Superbad,2007,tt0829482,Comedy,7.6,10/04/2021
White Chicks,2004,tt0381707,"Comedy, Crime",5.6,09/04/2021
Stardust,2007,tt0486655,"Adventure, Family, Fantasy",7.6,07/04/2021
About Time,2013,tt2194499,"Comedy, Drama, Fantasy",7.8,07/04/2021
Room,2015,tt3170832,"Drama, Thriller",8.1,06/04/2021
Donald Glover: Weirdo,2012,tt2345525,Comedy,7.4,05/04/2021
Christina P: Mother Inferior,2017,tt7057376,Comedy,6.3,05/04/2021
Greta,2018,tt2639336,"Drama, Mystery, Thriller",6.0,05/04/2021
Spider-Man: Into the Spider-Verse,2018,tt4633694,"Animation, Action, Adventure",8.4,03/04/2021
Greg Davies: You Magnificent Beast,2018,tt8259682,Comedy,7.2,02/04/2021
I See You,2019,tt6079516,"Crime, Drama, Horror",6.8,31/03/2021
When We First Met,2018,tt5783956,"Comedy, Fantasy, Romance",6.4,29/03/2021
John Mulaney: The Comeback Kid,2015,tt5069564,Comedy,8.0,27/03/2021
Russell Howard: Recalibrate,2017,tt7736664,Comedy,7.4,25/03/2021
Katherine Ryan: Glitter Room,2019,tt10438648,Comedy,6.7,25/03/2021
It's Kind of a Funny Story,2010,tt0804497,"Comedy, Drama, Romance",7.1,22/03/2021
What Men Want,2019,tt7634968,"Comedy, Fantasy, Romance",5.3,21/03/2021
Holidays,2016,tt4419364,"Fantasy, Horror, Mystery",5.1,21/03/2021
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),2015,tt4703660,Comedy,6.8,19/03/2021
Iliza Shlesinger: Freezing Hot,2015,tt4073952,"Documentary, Comedy",6.8,19/03/2021
The Art of Self-Defense,2019,tt7339248,"Action, Comedy, Crime",6.6,18/03/2021
Ghostbusters,1984,tt0087332,"Action, Comedy, Fantasy",7.8,14/03/2021
New York Minute,2004,tt0363282,"Comedy, Crime, Family",5.0,07/03/2021
Mean Girls,2004,tt0377092,Comedy,7.0,07/03/2021
Zoolander,2001,tt0196229,Comedy,6.5,15/02/2021
The Blues Brothers,1980,tt0080455,"Action, Adventure, Comedy",7.9,26/01/2021
Hook,1991,tt0102057,"Adventure, Comedy, Family",6.8,22/01/2021
How to Lose a Guy in 10 Days,2003,tt0251127,"Comedy, Romance",6.4,18/01/2021
Halloween,1978,tt0077651,"Horror, Thriller",7.7,16/01/2021
Slaughterhouse Rulez,2018,tt6905696,"Action, Comedy, Fantasy",5.3,10/01/2021
Game Night,2018,tt2704998,"Action, Comedy, Crime",6.9,06/01/2021
Galaxy Quest,1999,tt0177789,"Adventure, Comedy, Sci-Fi",7.3,05/01/2021
Pitch Perfect 2,2015,tt2848292,"Comedy, Music",6.4,04/01/2021
Deadpool,2016,tt1431045,"Action, Adventure, Comedy",8.0,03/01/2021
Jack Whitehall: Christmas with My Father,2019,tt11313076,"Documentary, Comedy",5.9,03/01/2021
Spree,2020,tt11394332,"Comedy, Crime, Drama",5.9,01/01/2021
The Boys in the Band,2020,tt10199914,Drama,6.8,31/12/2020
The Babysitter: Killer Queen,2020,tt11024272,"Comedy, Horror",5.8,28/12/2020
The Babysitter,2017,tt4225622,"Comedy, Horror",6.3,27/12/2020
Nativity!,2009,tt1242447,"Comedy, Family",6.4,23/12/2020
Beyond the Mat,1999,tt0218043,"Documentary, Biography, Sport",7.6,21/12/2020
Michelle Wolf: Joke Show,2019,tt11269704,Comedy,7.2,21/12/2020
Wanda Sykes: Not Normal,2019,tt9169592,Comedy,7.2,16/12/2020
Klaus,2019,tt4729430,"Animation, Adventure, Comedy",8.2,15/12/2020
Arthur Christmas,2011,tt1430607,"Animation, Adventure, Comedy",7.1,14/12/2020
Zach Galifianakis: Live at the Purple Onion,2006,tt0804558,"Documentary, Comedy",7.3,12/12/2020
Blades of Glory,2007,tt0445934,"Comedy, Sport",6.3,11/12/2020
Forgetting Sarah Marshall,2008,tt0800039,"Comedy, Drama, Romance",7.1,10/12/2020
Catwalk: Tales from the Cat Show Circuit,2018,tt8115300,Documentary,6.3,09/12/2020
This Is the End,2013,tt1245492,Comedy,6.6,07/12/2020
The Holiday,2006,tt0457939,"Comedy, Romance",6.9,04/12/2020
Step Brothers,2008,tt0838283,Comedy,6.9,28/11/2020
Road Trip,2000,tt0215129,Comedy,6.4,27/11/2020
10 to Midnight,1983,tt0085121,"Crime, Drama, Thriller",6.3,22/11/2020
His House,2020,tt8508734,"Drama, Horror, Thriller",6.5,15/11/2020
Matilda,1996,tt0117008,"Comedy, Family, Fantasy",6.9,13/11/2020
Wild Child,2008,tt1024255,"Comedy, Drama, Romance",6.1,08/11/2020
Patch Adams,1998,tt0129290,"Biography, Comedy, Drama",6.8,06/11/2020
Annihilation,2018,tt2798920,"Adventure, Drama, Horror",6.8,31/10/2020
The Addams Family,1991,tt0101272,"Comedy, Fantasy",6.9,11/10/2020
The Prodigy,2019,tt4504044,"Fantasy, Horror, Mystery",5.9,08/10/2020
Before I Wake,2016,tt3174376,"Drama, Fantasy, Horror",6.2,08/10/2020
The Other Side of the Door,2016,tt3702652,Horror,5.3,08/10/2020
Addams Family Values,1993,tt0106220,"Comedy, Fantasy",6.8,02/10/2020
Cam,2018,tt8361028,"Drama, Horror, Mystery",5.9,02/10/2020
Curse of Chucky,2013,tt2230358,"Adventure, Comedy, Fantasy",5.6,02/10/2020
The Social Dilemma,2020,tt11464826,"Documentary, Drama",7.6,26/09/2020
Just Like Heaven,2005,tt0425123,"Comedy, Drama, Fantasy",6.7,15/09/2020
League of Legends Origins,2019,tt11131032,Documentary,6.5,11/09/2020
Christine,1983,tt0085333,"Horror, Thriller",6.7,11/09/2020
13 Going on 30,2004,tt0337563,"Comedy, Fantasy, Romance",6.2,06/09/2020
Crocodile Dundee,1986,tt0090555,"Action, Adventure, Comedy",6.6,04/09/2020
The Cabin in the Woods,2011,tt1259521,"Horror, Mystery, Thriller",7.0,23/08/2020
How to Train Your Dragon,2010,tt0892769,"Animation, Action, Adventure",8.1,21/08/2020
The Truman Show,1998,tt0120382,"Comedy, Drama",8.1,18/08/2020
Adult Life Skills,2016,tt4211044,"Comedy, Drama",6.3,15/08/2020
The First Purge,2018,tt6133466,"Action, Horror, Sci-Fi",5.2,12/08/2020
Wishmaster,1997,tt0120524,"Fantasy, Horror",5.8,12/08/2020
The Secret Garden,1993,tt0108071,"Drama, Family, Fantasy",7.3,01/08/2020
The Mask,1994,tt0110475,"Action, Comedy, Crime",6.9,01/08/2020
Hereditary,2018,tt7784604,"Drama, Horror, Mystery",7.3,31/07/2020
#cats_the_mewvie,2020,tt11642302,Documentary,5.3,13/07/2020
The Hole in the Ground,2019,tt6198946,"Drama, Horror, Mystery",5.7,04/07/2020
Prom Night,2008,tt0926129,"Horror, Mystery",3.9,14/06/2020
"Angus, Thongs and Perfect Snogging",2008,tt0963743,"Comedy, Drama, Romance",6.3,07/06/2020
The Game Changers,2018,tt7455754,Documentary,7.9,05/06/2020
Ender's Game,2013,tt1731141,"Action, Adventure, Fantasy",6.6,25/05/2020
Have a Good Trip: Adventures in Psychedelics,2020,tt12133722,"Documentary, Comedy",6.8,25/05/2020
Chalet Girl,2011,tt1487118,"Comedy, Romance, Sport",6.3,24/05/2020
The Great Hack,2019,tt4736550,"Documentary, Biography, History",7.1,23/05/2020
Role Models,2008,tt0430922,Comedy,6.8,22/05/2020
